Date (YMD),Advancers,Decliners,Unchanged,RANA,19-day EMA,39-day EMA,Oscillator,Index
19650301,550,561,261,-9.900990099,,,,
19650302,590,520,258,63.0630630631,,,,
19650303,574,528,261,41.7422867514,,,,
19650304,490,594,275,-95.9409594096,,,,
19650305,446,646,268,-183.1501831502,,,,
19650308,626,466,270,146.5201465201,,,,
19650309,501,609,260,-97.2972972973,,,,
19650310,532,554,284,-20.2578268877,,,,
19650311,614,452,297,151.9699812383,,,,
19650312,640,477,246,145.9265890779,,,,
19650315,578,535,278,38.6343216532,,,,
19650316,536,574,261,-34.2342342342,,,,
19650317,485,599,294,-105.1660516605,,,,
19650318,457,624,285,-154.486586494,,,,
19650319,474,602,285,-118.9591078067,,,,
19650322,538,559,264,-19.1431175934,,,,
19650323,534,537,286,-2.8011204482,,,,
19650324,579,471,300,102.8571428571,,,,
19650325,482,597,308,-106.5801668211,,,,
19650326,278,828,268,-497.287522604,,,,
19650329,360,737,264,-343.6645396536,,,,
19650330,574,482,304,87.1212121212,,,,
19650331,602,473,276,120,,,,
19650401,551,507,291,41.5879017013,,,,
19650402,684,421,267,238.0090497738,,,,
19650405,575,530,277,40.7239819005,,,,
19650406,499,591,264,-84.4036697248,,,,
19650407,557,488,321,66.028708134,,,,
19650408,751,353,260,360.5072463768,,,,
19650409,742,378,254,325,,,,
19650412,741,413,229,284.2287694974,,,,
19650413,605,539,244,57.6923076923,,,,
19650414,605,497,272,98.0036297641,,,,
19650415,570,516,278,49.7237569061,,,,
19650419,621,482,281,126.0199456029,,,,
19650420,580,553,246,23.8305383936,,,,
19650421,447,670,280,-199.6418979409,,,,
19650422,667,464,249,179.4871794872,,,,
19650423,600,497,275,93.8924339107,,,,
19650426,546,550,274,-3.6496350365,,,,
19650427,620,514,262,93.4744268078,,,,
19650428,475,593,305,-110.4868913858,,,,
19650429,537,566,263,-26.291931097,,,,
19650430,504,574,290,-64.9350649351,,,,
19650503,501,619,254,-105.3571428571,,,,
19650504,606,485,290,110.9074243813,,,,
19650505,641,488,254,135.5181576616,,,,
19650506,583,509,304,67.7655677656,,,,
19650507,524,585,281,-55.0045085663,,,,
19650510,553,595,238,-36.5853658537,,,,
19650511,457,664,274,-184.6565566459,,,,
19650512,649,486,251,143.6123348018,,,,
19650513,615,474,276,129.476584022,,,,
19650514,543,572,264,-26.0089686099,,,,
19650517,432,698,287,-235.3982300885,,,,
19650518,523,566,287,-39.4857667585,,,,
19650519,613,486,276,115.559599636,,,,
19650520,337,787,251,-400.3558718861,,,,
19650521,390,702,288,-285.7142857143,,,,
19650524,303,867,218,-482.0512820513,,,,
19650525,680,446,266,207.8152753108,,,,
19650526,379,702,304,-298.7974098057,,,,
19650527,277,891,240,-525.6849315069,,,,
19650528,692,382,286,288.6405959032,,,,
19650601,345,798,241,-396.3254593176,,,,
19650602,196,1000,223,-672.2408026756,,,,
19650603,428,665,282,-216.8344007319,,,,
19650604,588,528,269,53.7634408602,,,,
19650607,337,799,249,-406.6901408451,,,,
19650608,215,938,229,-627.0598438855,,,,
19650609,257,911,219,-559.9315068493,,,,
19650610,351,823,225,-402.0442930153,,,,
19650611,692,428,235,235.7142857143,,,,
19650614,161,1036,171,-730.9941520468,,,,
19650615,597,559,235,32.8719723183,,,,
19650616,908,272,194,538.9830508475,,,,
19650617,745,332,297,383.4726090994,,,,
19650618,355,726,262,-343.2007400555,,,,
19650621,318,744,286,-401.1299435028,,,,
19650622,569,480,279,84.8427073403,,,,
19650623,279,771,282,-468.5714285714,,,,
19650624,116,1088,152,-807.3089700997,,,,
19650625,271,868,218,-524.1439859526,,,,
19650628,104,1167,127,-836.3493312352,,,,
19650629,616,563,222,44.9533502969,,,,
19650630,1168,101,116,840.8195429472,,,,
19650701,779,356,227,372.6872246696,,,,
19650702,860,274,212,516.7548500882,,,,
19650706,546,540,266,5.5248618785,,,,
19650707,395,686,268,-269.1951896392,,,,
19650708,741,332,258,381.174277726,,,,
19650709,754,350,236,365.9420289855,,,,
19650712,578,517,254,55.7077625571,,,,
19650713,433,628,272,-183.7888784166,,,,
19650714,629,427,286,191.2878787879,,,,
19650715,591,492,276,91.4127423823,,,,
19650716,501,542,286,-39.309683605,,,,
19650719,472,583,276,-105.2132701422,,,,
19650720,226,937,211,-611.3499570077,,,,
19650721,325,747,259,-393.6567164179,,,,
19650722,454,570,301,-113.28125,,,,
19650723,609,461,285,138.3177570093,,,,
19650726,543,544,258,-0.9199632015,,,,
19650727,459,620,248,-149.2122335496,,,,
19650728,563,503,293,56.2851782364,,,,
19650729,816,309,237,450.6666666667,,,,
19650730,802,315,228,435.9892569382,,,,
19650802,650,453,252,178.6038077969,,,,
19650803,570,506,266,59.4795539033,,,,
19650804,767,364,232,356.3218390805,,,,
19650805,575,492,272,77.7881911903,,,,
19650806,627,410,303,209.2574734812,,,,
19650809,550,541,270,8.2493125573,,,,
19650810,567,473,319,90.3846153846,,,,
19650811,684,422,231,236.8896925859,,,,
19650812,666,386,280,266.1596958175,,,,
19650813,699,419,238,250.4472271914,,,,
19650816,622,495,259,113.6974037601,,,,
19650817,556,500,292,53.0303030303,,,,
19650818,579,514,271,59.4693504117,,,,
19650819,402,689,261,-263.061411549,,,,
19650820,486,562,272,-72.5190839695,,,,
19650823,498,552,297,-51.4285714286,,,,
19650824,611,473,292,127.3062730627,,,,
19650825,575,539,263,32.315978456,,,,
19650826,646,474,253,153.5714285714,,,,
19650827,664,456,252,185.7142857143,,,,
19650830,597,469,303,120.0750469043,,,,
19650831,563,520,276,39.7045244691,,,,
19650901,571,502,294,64.3056849953,,,,
19650902,767,360,254,361.1357586513,,,,
19650903,745,363,269,344.7653429603,,,,
19650907,659,481,251,156.1403508772,,,,
19650908,589,538,263,45.2528837622,,,,
19650909,651,484,260,147.1365638767,,,,
19650910,605,523,264,72.695035461,,,,
19650913,645,486,255,140.5835543767,,,,
19650914,407,770,241,-308.4112149533,,,,
19650915,668,486,248,157.712305026,,,,
19650916,706,443,245,228.8946910357,,,,
19650917,522,606,271,-74.4680851064,,,,
19650920,597,547,250,43.7062937063,,,,
19650921,517,628,256,-96.943231441,,,,
19650922,698,454,245,211.8055555556,,,,
19650923,362,779,261,-365.4688869413,,,,
19650924,626,473,285,139.2174704277,,,,
19650927,641,516,249,108.0380293863,,,,
19650928,511,640,254,-112.0764552563,,,,
19650929,383,748,283,-322.7232537577,,,,
19650930,505,627,256,-107.7738515901,,,,
19651001,532,550,293,-16.6358595194,,,,
19651004,673,454,261,194.3212067436,,,,
19651005,723,409,241,277.3851590106,,,,
19651006,471,625,273,-140.5109489051,,,,
19651007,656,503,230,132.0103537532,,,,
19651008,776,358,262,368.60670194,,,,
19651011,756,418,229,287.9045996593,,,,
19651012,581,585,226,-3.4305317324,,,,
19651013,571,578,254,-6.092254134,,,,
19651014,554,590,251,-31.4685314685,,,,
19651015,626,491,275,120.8594449418,,,,
19651018,658,502,245,134.4827586207,,,,
19651019,555,636,234,-68.0100755668,,,,
19651020,554,632,229,-65.7672849916,,,,
19651021,630,531,253,85.2713178295,,,,
19651022,532,615,257,-72.3626852659,,,,
19651025,395,738,261,-302.7360988526,,,,
19651026,684,432,289,225.8064516129,,,,
19651027,649,476,287,153.7777777778,,,,
19651028,493,649,259,-136.6024518389,,,,
19651029,658,479,259,157.4318381706,,,,
19651101,516,636,250,-104.1666666667,,,,
19651103,606,567,260,33.2480818414,,,,
19651104,621,623,167,-1.6077170418,,,,
19651105,575,571,284,3.4904013962,,,,
19651108,397,755,251,-310.7638888889,,,,
19651109,516,616,259,-88.3392226148,,,,
19651110,502,585,285,-76.3569457222,,,,
19651111,587,480,287,100.2811621368,,,,
19651112,684,457,248,198.9482909728,,,,
19651115,640,513,244,110.1474414571,,,,
19651116,565,593,253,-24.1796200345,,,,
19651117,504,652,252,-128.0276816609,,,,
19651118,504,610,277,-95.1526032316,,,,
19651119,599,541,262,50.8771929825,,,,
19651122,412,728,267,-277.1929824561,,,,
19651123,621,533,259,76.2564991334,,,,
19651124,654,490,252,143.3566433566,,,,
19651126,699,465,226,201.0309278351,,,,
19651129,634,562,225,60.2006688963,,,,
19651130,522,646,248,-106.1643835616,,,,
19651201,617,563,232,45.7627118644,,,,
19651202,500,672,251,-146.7576791809,,,,
