Date (YMD),Advancers,Decliners,Unchanged
19650301,550,561,261
19650302,590,520,258
19650303,574,528,261
19650304,490,594,275
19650305,446,646,268
19650308,626,466,270
19650309,501,609,260
19650310,532,554,284
19650311,614,452,297
19650312,640,477,246
19650315,578,535,278
19650316,536,574,261
19650317,485,599,294
19650318,457,624,285
19650319,474,602,285
19650322,538,559,264
19650323,534,537,286
19650324,579,471,300
19650325,482,597,308
19650326,278,828,268
19650329,360,737,264
19650330,574,482,304
19650331,602,473,276
19650401,551,507,291
19650402,684,421,267
19650405,575,530,277
19650406,499,591,264
19650407,557,488,321
19650408,751,353,260
19650409,742,378,254
19650412,741,413,229
19650413,605,539,244
19650414,605,497,272
19650415,570,516,278
19650419,621,482,281
19650420,580,553,246
19650421,447,670,280
19650422,667,464,249
19650423,600,497,275
19650426,546,550,274
19650427,620,514,262
19650428,475,593,305
19650429,537,566,263
19650430,504,574,290
19650503,501,619,254
19650504,606,485,290
19650505,641,488,254
19650506,583,509,304
19650507,524,585,281
19650510,553,595,238
19650511,457,664,274
19650512,649,486,251
19650513,615,474,276
19650514,543,572,264
19650517,432,698,287
19650518,523,566,287
19650519,613,486,276
19650520,337,787,251
19650521,390,702,288
19650524,303,867,218
19650525,680,446,266
19650526,379,702,304
19650527,277,891,240
19650528,692,382,286
19650601,345,798,241
19650602,196,1000,223
19650603,428,665,282
19650604,588,528,269
19650607,337,799,249
19650608,215,938,229
19650609,257,911,219
19650610,351,823,225
19650611,692,428,235
19650614,161,1036,171
19650615,597,559,235
19650616,908,272,194
19650617,745,332,297
19650618,355,726,262
19650621,318,744,286
19650622,569,480,279
19650623,279,771,282
19650624,116,1088,152
19650625,271,868,218
19650628,104,1167,127
19650629,616,563,222
19650630,1168,101,116
19650701,779,356,227
19650702,860,274,212
19650706,546,540,266
19650707,395,686,268
19650708,741,332,258
19650709,754,350,236
19650712,578,517,254
19650713,433,628,272
19650714,629,427,286
19650715,591,492,276
19650716,501,542,286
19650719,472,583,276
19650720,226,937,211
19650721,325,747,259
19650722,454,570,301
19650723,609,461,285
19650726,543,544,258
19650727,459,620,248
19650728,563,503,293
19650729,816,309,237
19650730,802,315,228
19650802,650,453,252
19650803,570,506,266
19650804,767,364,232
19650805,575,492,272
19650806,627,410,303
19650809,550,541,270
19650810,567,473,319
19650811,684,422,231
19650812,666,386,280
19650813,699,419,238
19650816,622,495,259
19650817,556,500,292
19650818,579,514,271
19650819,402,689,261
19650820,486,562,272
19650823,498,552,297
19650824,611,473,292
19650825,575,539,263
19650826,646,474,253
19650827,664,456,252
19650830,597,469,303
19650831,563,520,276
19650901,571,502,294
19650902,767,360,254
19650903,745,363,269
19650907,659,481,251
19650908,589,538,263
19650909,651,484,260
19650910,605,523,264
19650913,645,486,255
19650914,407,770,241
19650915,668,486,248
19650916,706,443,245
19650917,522,606,271
19650920,597,547,250
19650921,517,628,256
19650922,698,454,245
19650923,362,779,261
19650924,626,473,285
19650927,641,516,249
19650928,511,640,254
19650929,383,748,283
19650930,505,627,256
19651001,532,550,293
19651004,673,454,261
19651005,723,409,241
19651006,471,625,273
19651007,656,503,230
19651008,776,358,262
19651011,756,418,229
19651012,581,585,226
19651013,571,578,254
19651014,554,590,251
19651015,626,491,275
19651018,658,502,245
19651019,555,636,234
19651020,554,632,229
19651021,630,531,253
19651022,532,615,257
19651025,395,738,261
19651026,684,432,289
19651027,649,476,287
19651028,493,649,259
19651029,658,479,259
19651101,516,636,250
19651103,606,567,260
19651104,621,623,167
19651105,575,571,284
19651108,397,755,251
19651109,516,616,259
19651110,502,585,285
19651111,587,480,287
19651112,684,457,248
19651115,640,513,244
19651116,565,593,253
19651117,504,652,252
19651118,504,610,277
19651119,599,541,262
19651122,412,728,267
19651123,621,533,259
19651124,654,490,252
19651126,699,465,226
19651129,634,562,225
19651130,522,646,248
19651201,617,563,232
19651202,500,672,251
19651203,554,599,262
19651206,240,1011,181
19651207,869,336,215
19651208,626,522,254
19651209,637,537,237
19651210,656,518,249
19651213,644,549,228
19651214,620,606,207
19651215,620,577,232
19651216,672,544,228
19651217,627,536,253
19651220,391,799,239
19651221,664,530,229
19651222,501,704,212
19651223,497,668,258
19651227,380,798,260
19651228,497,686,234
19651229,717,471,237
19651230,714,446,254
19651231,697,479,229
19660103,630,547,219
19660104,639,608,140
19660105,740,440,233
19660106,649,531,230
19660107,612,540,258
19660110,699,506,220
19660111,632,536,259
19660112,579,592,252
19660113,699,487,240
19660114,663,536,226
19660117,738,469,250
19660118,632,567,243
19660119,492,706,240
19660120,500,701,228
19660121,542,624,273
19660124,697,503,220
19660125,651,535,251
19660126,591,609,226
19660127,577,596,245
19660128,504,668,249
19660131,425,739,255
19660201,222,1022,188
19660202,671,524,219
19660203,642,510,259
19660204,707,485,230
19660207,712,470,238
19660208,491,710,225
19660209,805,408,207
19660210,569,638,236
19660211,650,553,238
19660214,585,639,210
19660215,451,741,224
19660216,545,667,207
19660217,399,786,232
19660218,498,687,255
19660221,426,785,214
19660223,402,807,244
19660224,392,747,256
19660225,686,480,232
19660228,673,545,212
19660301,250,986,207
19660302,268,986,192
19660303,648,545,232
19660304,502,671,250
19660307,230,1013,170
19660308,446,753,225
19660309,880,307,232
19660310,542,640,235
19660311,543,606,252
19660314,223,997,199
19660315,240,1017,171
19660316,715,445,242
19660317,677,453,258
19660318,772,367,343
19660321,836,342,230
19660322,727,466,245
19660323,465,695,243
19660324,545,595,258
19660325,644,497,240
19660328,699,517,197
19660329,402,755,247
19660330,254,938,239
19660331,650,486,267
19660401,760,410,244
19660404,829,381,208
19660405,794,417,226
19660406,640,542,243
19660407,703,481,243
19660411,631,593,220
19660412,549,646,222
19660413,545,629,236
19660414,585,580,257
19660415,610,600,230
19660418,487,694,233
19660419,586,583,251
19660420,720,469,248
19660421,649,549,242
19660422,489,684,263
19660425,551,625,256
19660426,538,646,255
19660427,396,781,229
19660428,315,896,225
19660429,571,560,261
19660502,519,669,239
19660503,228,1014,187
19660504,357,858,237
19660505,180,1083,179
19660506,377,872,197
19660509,273,991,188
19660510,778,410,235
19660511,639,515,262
19660512,190,1062,164
19660513,237,982,210
19660516,194,1071,178
19660517,230,1000,217
19660518,946,273,224
19660519,579,607,229
19660520,618,566,221
19660523,826,360,204
19660524,889,318,196
19660525,647,477,243
19660526,584,552,243
19660527,629,448,304
19660531,286,879,233
19660601,490,645,260
19660602,565,509,271
19660603,585,494,284
19660606,329,819,237
19660607,271,832,268
19660608,622,480,272
19660609,729,396,245
19660610,871,301,210
19660613,715,454,230
19660614,608,534,250
19660615,529,559,299
19660616,511,618,239
19660617,513,594,278
19660620,523,614,251
19660621,675,478,229
19660622,635,513,260
19660623,459,680,249
19660624,476,663,237
19660627,384,774,224
19660628,382,773,250
19660629,238,919,231
19660630,373,775,238
19660701,826,313,227
19660705,571,542,264
19660706,864,320,209
19660707,699,459,264
19660708,617,528,256
19660711,592,553,244
19660712,426,741,227
19660713,335,791,259
19660714,638,474,280
19660715,649,488,264
19660718,478,666,251
19660719,302,849,248
19660720,316,838,214
19660721,439,709,239
19660722,518,611,239
19660725,165,1089,153
19660726,348,818,252
19660727,740,408,232
19660728,419,689,265
19660729,446,615,304
19660801,164,1080,163
19660802,481,655,276
19660803,829,326,245
19660804,760,393,233
19660805,604,498,265
19660808,436,685,253
19660809,561,556,255
19660810,337,761,267
19660811,480,611,300
19660812,600,501,270
19660815,407,696,267
19660816,211,997,212
19660817,278,883,259
19660818,181,1048,209
19660819,292,873,247
19660822,130,1147,171
19660823,524,657,244
19660824,845,342,211
19660825,310,889,225
19660826,100,1186,142
19660829,103,1240,114
19660830,710,498,224
19660831,988,281,162
19660901,664,502,254
19660902,516,619,256
19660906,448,677,266
19660907,257,907,208
19660908,468,706,232
19660909,657,469,263
19660912,1030,202,185
19660913,847,379,197
19660914,691,467,245
19660915,724,440,214
19660916,602,538,242
19660919,460,677,262
19660920,400,724,265
19660921,170,995,224
19660922,531,595,263
19660923,455,626,280
19660926,555,572,270
19660927,646,508,224
19660928,296,833,243
19660929,223,964,209
19660930,569,543,267
19661003,198,1003,204
19661004,397,776,257
19661005,381,763,260
19661006,243,961,220
19661007,280,918,233
19661010,725,453,244
19661011,792,399,233
19661012,916,261,209
